Название вакансии,URL,Название компании,Описание
Junior Python разработчик,https://perm.hh.ru/vacancy/32118664?query=python,ООО е.Ком,"Требования: Разрабатываем инструменты для формирования и настройки персонализированных сообщений. Модернизируем старые решения, превращая их в более гибкие и удобные. 
Опыт: Javascript, Vue.js, Bootstrap. Думали головой. Писали грамотный и поддерживаемый код."
Разработчик Python и SQL,https://perm.hh.ru/vacancy/31929637?query=python,ООО ИнфоНет Мобил,"Требования: Разработка и сопровождение системы математической обработки геоданных с целью трансформации исходных данных в требуемую Заказчику информацию. Участие в развитии методов...
Опыт: Высшее техническое образование. Опыт разработки ПО с использованием Python3 не менее 2 лет. Опыт использования библиотек pandas, geopandas, sqlalchemy. "
Программист Python,https://perm.hh.ru/vacancy/32124136?query=python,ООО Технологии безопасности дорожного движения,"Требования: Разработка, тестирование и поддержка приложений Python. Участие в разработке архитектуры. Работа с базами данных, MySQL, PostgreSQL.
Опыт: Владение Python 2.6, 2.7. Опыт работы с MySQL/PostgreSQL. Опыт работы с системами контроля версий (git). "
Junior Data Developer (Python),https://perm.hh.ru/vacancy/32030586?query=python, DataFork,"Требования: Автоматизация процессов сбора, хранения и анализа данных из открытых и закрытых источников (ETL / CMC). Автоматизация процессов обработки, «обогащения» и нормализации...
Опыт: Уверенное владение python (3.*). Опыт разработки в среде linux. Высшее техническое образование. Опыт работы с библиотекой pandas. Владение С++ и..."
Senior Python Software Developer,https://perm.hh.ru/vacancy/30662401?query=python, Quest Software,"Требования: Work with other team members to develop new features for Software as a Service (SaaS) solutions, cover them by acceptance...
Опыт: At least 6 years of experience with web application development. Strong knowledge of Python (JavaScript, C#, Go). Experience with Linux..."
Программист Python (Middle),https://perm.hh.ru/vacancy/32188672?query=python,ООО Контент лайн,"Требования: Разработка, code review и рефакторинг систем. Участие в проектировании систем. Сопровождение и документирование проектов.
Опыт: Уверенное знание Python 2 и 3. Уверенное знание Django 1.8+ и популярных пакетов для него. Знание SQL и..."
Программист Python,https://perm.hh.ru/vacancy/31868400?query=python, АстроСофт,"Требования: Компания АстроСофт ведет разработку приложений для крупной зарубежной финансовой компании. Текущие проекты: 1. Решение задач оптимизации портфельных инвестиций с использованием...
Опыт: Стек технологий: - Numpy. Стек технологий: - Numpy. - опыт продуктовой разработки на Python от 1 года. - алгоритмическое мышление. Плюсом будет: - знание предметной..."
Python Developer,https://perm.hh.ru/vacancy/32098540?query=python,ООО Розум Роботикс,"Требования: Приложения для конечных пользователей - у нас есть UI для относительно простых кейсов, что-то сложное и под конкретного клиента - надо...
Опыт: Понимание что такое CI/CD. Понимание (а лучше опыт) упаковки ""python скрипта"" в оформленный пакет, готовый для распространения. "
Python-разработчик,https://perm.hh.ru/vacancy/32251802?query=python,ООО ГЛОСАВ,"Требования: Разработка ПО обработки видео, интеграция нейромашин.
Опыт: Высшее техническое образование. * Опыт разработки в области машинного обучения. * Уверенное владение Python, Numpy, TensorFlow и др."
"Программист web, Django / Python",https://perm.hh.ru/vacancy/32037528?query=python,ООО СП Плюс,"Требования: Сопровождение действующего сайта. Доработки, добавление и/или изменение функционала. Немного верстки.
Опыт: Опыт работы с Django, DjangoCMS. Знание Python, PHP. Знание HTML5, CSS3."
Backend Python-разработчик,https://perm.hh.ru/vacancy/32096784?query=python, Akvelon,"Требования: 
Опыт: Глубокое знание языка Python и в контексте бэкенд-разработки. Знание английского языка на уровне upper-intermediate или выше. "
Backend Python-разработчик,https://perm.hh.ru/vacancy/32096785?query=python, Akvelon,"Требования: 
Опыт: Глубокое знание языка Python и в контексте бэкенд-разработки. Знание английского языка на уровне upper-intermediate или выше. "
Backend Python-разработчик,https://perm.hh.ru/vacancy/32096786?query=python, Akvelon,"Требования: 
Опыт: Глубокое знание языка Python и в контексте бэкенд-разработки. Знание английского языка на уровне upper-intermediate или выше. "
Backend Python-разработчик,https://perm.hh.ru/vacancy/32096787?query=python, Akvelon,"Требования: 
Опыт: Глубокое знание языка Python и в контексте бэкенд-разработки. Знание английского языка на уровне upper-intermediate или выше. "
Инженер-программист Python,https://perm.hh.ru/vacancy/32018146?query=python, PM&HM,"Требования: 1. Доработка и развитие Python приложения, управляющего оборудованием ингалятора и процессом проведения лечебных ингаляционных процедур. 2. Разработка собственных библиотек или...
Опыт: Отличное знание ООП. 2. Знание и понимание принципов SOLID. 3. Python3.x. 4. Знание архитектуры ОС Linux, в первую..."
Python разработчик,https://perm.hh.ru/vacancy/31871486?query=python, 37bytes,"Требования: Проектирование и реализация API разрабатываемых систем. Документирование/тестирование написанного кода. Сопровождение и доработка существующего кода. Сопутствующие задачи: митинги, оценки фич.
Опыт: Опыт коммерческой разработки на Python (Django), понимание концепций языка. Опыт работы с SQL базами данных. Знание структур данных, классических алгоритмов. "
Программист Python,https://perm.hh.ru/vacancy/32324531?query=python, Автодеталь НЧ,"Требования: 
Опыт: MySQL."
Разработчик Python,https://perm.hh.ru/vacancy/31624245?query=python,ОАО Оператор систем пенсионного обеспечения и страхования,"Требования: Проектирование и разработка backend - сервисов на языке Python. Написание unit-тестов. - понимание смежных областей разработки ПО (управление, анализ требований, проектирование...
Опыт: Отличные знания Python 3. Владение общими вопросами программирования: шаблоны проектирования, структуры данных, алгоритмы. Опыт использования систем контроля версий. "
